PDF1 Name,PDF2 Name,Average Similarity,Pages,Similarity per Page
DOC_0001,DOC_0002,100.00,2,50.00
DOC_0013,DOC_0014,100.00,3,33.33
DL_COPY,DL_ORIG,100.00,1,100.00
BATCH_01,BATCH_02,100.00,1,100.00
BATCH_01,BATCH_03,100.00,1,100.00
BATCH_01,BATCH_04,100.00,1,100.00
BATCH_01,BATCH_05,100.00,1,100.00
BATCH_02,BATCH_03,100.00,1,100.00
BATCH_02,BATCH_04,100.00,1,100.00
BATCH_02,BATCH_05,100.00,1,100.00
BATCH_03,BATCH_04,100.00,1,100.00
BATCH_03,BATCH_05,100.00,1,100.00
BATCH_04,BATCH_05,100.00,1,100.00
